amount,transaction_hour,distance_from_home_km,distance_from_last_transaction_km,online_transaction,international_transaction,merchant_risk_score,card_present,transaction_velocity,account_age_days,fraud
44.91,21,10.66,20.9,1,0,0.18,0,2,265,0
11.7,18,32.59,19.78,1,0,0.399,1,1,892,0
70.14,16,10.2,10.52,1,0,0.42,0,1,1328,0
84.82,5,1.88,8.07,0,1,0.469,1,2,876,0
4.71,14,22.88,5.12,0,0,0.45,1,1,1837,0
9.01,19,8.72,29.23,0,0,0.231,0,4,1162,0
37.63,1,30.48,1.41,1,0,0.388,1,3,1805,0
24.14,4,16.82,15.58,1,0,0.122,1,5,541,0
32.56,12,32.41,4.08,1,0,0.394,1,4,318,0
14.11,8,2.13,2.23,0,0,0.452,1,1,642,0
79.79,17,10.13,6.4,1,0,0.094,1,1,519,0
72.08,9,7.18,6.51,0,1,0.168,1,2,654,0
35.38,23,86.81,12.86,1,0,0.787,1,2,1025,0
102.23,7,11.73,22.65,0,0,0.655,1,2,1078,0
52.85,8,3.72,7.81,0,0,0.041,1,3,606,0
14.02,0,22.55,0.88,1,0,0.322,1,0,1008,0
47.88,5,6.58,3.74,1,0,0.13,1,1,382,0
12.69,5,34.92,7.7,1,0,0.373,0,2,799,1
79.71,18,39.25,5.75,1,0,0.266,1,4,617,0
31.5,8,7.25,15.6,1,0,0.329,1,1,536,0
27.53,4,8.96,12.4,0,0,0.244,1,3,1297,0
16.76,7,20.94,17.95,1,0,0.167,0,2,705,0
112.45,13,35.67,0.33,0,0,0.111,1,2,1079,0
28.37,18,22.87,21.13,1,0,0.376,0,1,520,0
21.58,23,11.74,1.02,1,0,0.362,1,3,945,0
23.29,1,4.59,14.59,0,0,0.513,1,3,1131,1
56.39,20,55.68,25.56,1,0,0.147,0,2,1426,0
47.72,9,23.3,0.24,1,0,0.038,1,6,666,0
50.04,19,64.06,8.14,0,0,0.211,1,3,334,0
50.95,0,25.93,5.8,1,0,0.216,0,0,871,0
281.93,15,58.3,1.92,1,0,0.196,0,1,132,0
22.06,22,8.21,0.24,1,0,0.496,1,1,1249,0
19.84,0,8.8,21.49,1,0,0.208,1,5,817,0
14.68,18,14.52,2.08,0,1,0.384,0,2,245,0
61.31,2,7.59,59.11,1,0,0.171,0,0,642,1
102.41,23,3.06,2.32,1,0,0.227,0,2,1321,0
29.55,17,9.69,2.57,1,0,0.075,1,2,370,0
14.29,21,25.65,2.07,0,1,0.056,1,2,1212,0
14.52,21,5.21,3.18,1,0,0.2,1,1,1701,0
63.47,7,5.86,8.46,0,0,0.06,1,2,1426,0
69.63,9,10.27,14.61,1,0,0.353,1,1,1096,0
57.01,16,6.78,4.78,1,0,0.375,1,0,880,0
17.02,4,10.81,14.46,0,0,0.317,1,2,500,0
41.77,7,15.45,32.64,1,0,0.541,1,0,1363,0
37.21,2,5.6,6.71,1,1,0.266,1,1,1218,0
41.21,21,10.49,5.08,1,0,0.083,1,1,1741,0
79.16,5,16.64,2.57,1,0,0.431,1,1,1063,0
41.41,9,7.89,8.67,0,1,0.321,0,3,970,1
65.29,10,4.59,28.91,0,0,0.474,1,3,1477,0
35.43,9,8.46,8.26,1,0,0.279,1,3,1459,0
44.22,18,12.34,14.94,0,0,0.596,0,1,30,0
62.26,21,2.87,8.74,1,0,0.242,1,1,1532,0
7.71,13,25.95,8.04,1,0,0.334,1,5,1303,0
24.05,20,12.93,51.78,1,0,0.09,0,3,696,0
20.69,2,8.5,12.14,0,1,0.223,0,2,1011,0
17.48,23,3.46,19.26,0,1,0.231,1,4,1387,0
25.15,2,23.47,13.74,0,0,0.145,0,3,1529,0
147.66,1,39.53,8.46,0,0,0.209,0,1,1245,0
13.93,0,10.06,4.59,1,0,0.053,1,2,1079,0
87.21,5,60.19,28.36,0,0,0.411,0,1,1228,0
6.15,20,16.0,0.77,1,0,0.117,0,4,1239,0
23.69,7,16.49,3.9,0,0,0.454,0,2,2104,0
38.97,18,31.55,3.99,1,1,0.297,0,1,1599,0
59.51,10,24.42,20.37,1,0,0.15,1,4,1226,0
67.44,2,5.18,29.4,0,0,0.455,1,1,481,0
73.21,11,9.72,1.56,1,0,0.253,1,2,1279,0
23.37,5,35.59,7.29,0,0,0.228,0,0,779,0
20.86,6,24.8,19.85,1,0,0.17,0,5,805,0
78.1,12,60.58,4.27,0,1,0.222,1,1,458,0
27.35,18,21.95,14.77,0,0,0.084,1,3,983,0
9.25,14,25.45,6.92,1,0,0.411,0,1,983,0
10.66,5,8.43,4.7,0,0,0.182,0,5,1683,0
13.2,17,39.09,16.99,1,0,0.407,1,1,768,0
54.44,16,1.15,5.57,0,0,0.691,1,1,1090,0
38.18,5,18.89,10.11,0,0,0.473,1,2,1375,0
66.05,20,26.03,1.83,0,0,0.301,1,1,1189,0
21.6,20,20.83,14.89,0,0,0.418,0,1,948,0
38.8,14,16.11,23.01,0,0,0.187,1,1,1621,0
61.9,7,14.64,1.4,0,0,0.358,0,4,30,0
24.3,8,16.66,3.64,0,0,0.102,0,4,1718,0
52.29,10,6.07,21.1,0,0,0.53,1,2,30,1
17.08,4,20.74,6.05,0,0,0.304,0,3,1507,0
23.03,7,8.52,7.79,1,0,0.27,1,1,1294,0
22.61,3,10.07,2.3,1,0,0.099,0,0,1045,0
10.02,3,5.38,23.41,0,1,0.248,0,3,1597,0
53.89,17,99.95,1.83,0,0,0.358,1,2,927,0
20.71,3,19.61,7.79,1,0,0.129,1,2,1110,0
33.53,11,4.26,4.6,1,0,0.1,0,0,534,0
53.56,10,18.02,17.51,0,1,0.16,0,2,939,0
51.76,1,38.78,52.51,1,0,0.717,1,2,1614,0
64.42,19,20.56,0.91,1,0,0.102,1,2,1223,0
30.01,23,15.76,4.26,1,0,0.21,1,2,1331,0
21.69,15,7.87,5.92,1,0,0.265,1,1,940,0
30.58,16,20.59,1.72,0,0,0.054,1,2,903,0
6.13,5,29.16,8.66,1,0,0.273,0,2,546,0
7.79,20,29.39,18.87,0,0,0.184,1,1,1005,0
8.82,18,19.09,11.08,1,0,0.29,1,0,268,0
12.22,10,19.04,15.25,0,0,0.419,1,3,604,0
49.39,16,43.45,3.94,0,0,0.25,1,4,482,0
13.39,22,40.24,15.4,1,0,0.265,1,1,1453,0
22.69,14,13.95,10.74,1,0,0.392,0,2,1356,0
121.42,4,56.99,2.15,0,0,0.22,0,0,1440,0
23.19,7,4.34,9.13,0,0,0.617,1,0,1011,0
69.24,4,19.77,4.63,1,0,0.374,0,2,1419,0
13.02,7,21.37,71.73,0,0,0.148,0,2,1258,0
26.97,21,7.43,19.93,1,1,0.31,1,1,437,0
12.81,4,3.37,10.15,1,1,0.145,0,1,30,0
23.59,21,7.6,26.63,1,0,0.411,1,3,645,0
76.73,6,33.58,15.72,0,0,0.226,1,3,1177,0
5.89,11,34.31,2.2,1,0,0.478,0,4,1804,0
51.13,12,27.98,33.15,0,0,0.225,0,1,1286,0
42.0,3,8.67,1.54,1,0,0.178,1,2,432,0
18.28,4,34.62,29.98,1,0,0.159,0,4,1035,0
7.8,7,9.24,10.99,1,0,0.393,1,2,1275,0
35.59,1,20.74,8.63,0,0,0.317,0,2,1333,0
19.5,18,16.58,3.82,1,0,0.264,1,1,857,0
41.79,13,11.9,11.54,0,0,0.433,0,2,437,0
33.85,20,26.95,14.9,1,1,0.319,1,5,1433,1
164.31,20,31.07,13.84,0,0,0.511,1,2,275,0
26.07,8,8.18,10.85,1,0,0.273,1,3,1208,0
11.9,19,17.39,7.52,1,0,0.061,0,1,506,0
39.62,1,29.88,16.5,1,0,0.483,0,4,30,1
41.26,10,0.48,5.9,1,0,0.449,1,5,877,0
128.92,15,22.94,8.26,0,0,0.202,1,2,849,0
76.33,11,30.35,12.98,1,0,0.263,0,3,522,0
